계측기코드,계측기명,자산관리번호,설치년월일,모델명,사용처,설치장소,사진첨부
,외측마이크로미터,QS 01-01-89,1989.04,OUTSIDE 50MM,,품질보증부,
,버니어캘리퍼스,QS 02-01-89,1989.04,300MM,,품질보증부,
,디지털파워메타,QS 06-01-95,1995.12,2402A,,생산부,
,디지털온도계,QS 10-01-89,1989.10,51 K/J,,품질보증부,
,내전압시험기,QS 13-01-99,1999.08,HPT-5010,,품질보증부,
,전압조정기,QS 04-01-05,2005.04,300V,,품질보증부,
,스펙트럼 아날라이저,QS 16-01-07,2007.11,3201,,품질보증부,
,오실로스코프,QS 17-01-05,2005.08,OS-5040A,,품질보증부,
,오실레이터,QS 19-01-89,1989.11,MCR-402A,,생산부,
,주파수카운터,QS 20-01-00,2000.01,9100,,품질보증부,
,LCR Meter,QS 21-01-89,1989.11,AG-4305,,품질보증부,
,디지털하이테스터,QS 26-01-05,2005.03,3802,,품질보증부,
,FUNCTION GENERATOR,QS 24-01-19,2019.10,DG-812,,생산부,
,패턴제너레이터,QS 22-01-99,1999.04,LCG-396,,생산부,
,벡터스코프,QS 23-01-00,2000.01,5210,,생산부,
,TFT 모니터,QS 25-02-08,2008.05,1907D,,품질보증부,
,전원공급장치,QS 03-01-10,2010.02,0~50VDC,,생산부,
,광휘도계,QS 26-01-10,2010.02,LS-100,,품질보증부,
,절연저항계,QS 12-01-89,1989.04,HSM-1000,,품질보증부,
,오디오제너레이터,QS 08-01-17,2017.06,GAG-809,,생산부,
,오디오아날라이저,QS 24-01-03,2003.07,VP-7721A,,생산부,
,스펙트럼분석기,QS 01-01-02,2001.03,SS-30ST,,공사부,
,오실로스코프,QS 02-01-08,2008.05,V-225,,공사부,
,오디오제너레이터,QS 08-02-17,2017.06,GAG-809,,생산부,
,디지털 카운터,QS 05-01-08,2008.05,LDC-823A,,공사부,
,LCR Meter,QS 06-01-05,2005.01,3532-50,,연구소,
,디지털멀티미터,QS 10-01-13,2013.01,DM-1010,,품질보증부,
,패턴제너레이터,QS 07-01-09,2009.05,CG-1508,,공사부,
,벡터스코프,QS 08-01-09,2009.05,5850V,,공사부,
,전원공급장치,QS 12-01 09,2009.05,330,,연구소,
,광휘도계,QS 17-01-11,2011.10,LS-100,,공사부,
,절연저항계,QS 18-01-11,2011.10,HSM-5104,,공사부,
,피막두께측정기,QS 30-01-89,1989.04,NEO-DERM,,품질보증부,
,휘스톤브릿지,QS 29-01-89,1989.04,2755,,품질보증부,
,푸쉬풀게이지,QS 37-01-04,2004.09,FB-20K,,품질보증부,
,,,,,,,
,,,,,,,
