자재코드,자재명,규격,단위,자재공급업체, 단가(원) ,특이사항
CASE-RACK,렉케이스,2000*600*600,EA,에스지정보산업,,
CASE-DOOR,키보드선반,,EA,영락정밀판금,,
PA-MONITOR,PC모니터,"19""",EA,아이존이십일,,
PA-PC-P4,PC,,EA,PA디바이세스,,
PA-TTS,TTS,,EA,엠앤엠,,
UPS-1KVA-01,UPS,,EA,삼풍파워주식회사,,
CASE-EPA2403,CASE,EPA-2403,SET,황금엔지니어링,,
TRANS-EPA2403,TRANS,EPA-2403,SET,대영전기,,
HAND-삼형 3H,핸들 삼형 3구,3구핸들,EA,트리젠,,
FAN-DFB922524M,FAN 90mm 망없음,DFB922524M,EA,티엠엔에프,,
ACR-EPA2123-01,아크릴(OUTPUT LEVEL METER),EPA-2123-01,EA,주식회사 디에이치플러스,,
SWI-POWER,ROCKER SWITCH,RL2-321-C-2-BK(IO),EA,화인일렉트로닉스,,
SWI-R45,온도스위치 R45,바이메탈 R45,EA,세운상역,,
SWI-R95,온도스위치 R95,바이메탈 R95,EA,세운상역,,
TER-AC INLET,AC INLET,AS-08 10A 250V,EA,MJ.mall,,
BOX-EKARS3-1,EKARS 3H BOX(영문) 모델있음,555*413*180,EA,신진포장,,
PADCOM-04,3H PAD (LPO-783),541*403,EA,신진포장,,
FUSE-5A-01,휴즈 5A (TIME LAG),250V/20mm,EA,가야휴즈,,
FUSE-15A,휴즈 15A,250V/31.8MM,EA,제천전기,,
CONN-EPA3173-01,컨넥터 배선,CONN-TT-007,EA,우진테크,,
CONN-EPA3173-02-1,컨넥터 배선(800mm),EPA3173-02-1,EA,우진테크,,
CONN-EPA3173-03,컨넥터 배선,CONN-TO-003,EA,우진테크,,
CONN-EPA3173-04,컨넥터 배선,CONN-4PP-007,EA,우진테크,,
CONN-EPA3173-05,컨넥터 배선,CONN-3PP-001,EA,우진테크,,
CONN-EPA3173-06,컨넥터 배선,CONN-2PS-001,EA,우진테크,,
CONN-EPA3173-11,컨넥터 배선,CONN-4PP-008,EA,우진테크,,
CONN-EPA3173-12,컨넥터 배선,CONN-TT-002,EA,우진테크,,
CONN-EPA3173-13,컨넥터 배선,CONN-TT-001,EA,우진테크,,
CONN-046,"컨넥터 배선(2000mm,빨간색)",CONN-OS-005,EA,우진테크,,
CONN-047,"컨넥터 배선(2000mm,검정색",CONN-OS-006,EA,우진테크,,
CONN-050,콘넥타 배선(STEREO PLUG ASS`Y),CONN-050 1M,EA,우진테크,,
CONN-EPA3173-08,콘넥터 배선,CONN-CANNON-001,EA,우진테크,,
CORD-250/7A,코드선 250V/7A,250V/7A,EA,우진테크,,
PCB-EPA3173-01,PCB MAIN AMP MAIN B'D(400W),EPA3173-01-0,EA,도고테크,,
PCB-EPA3173-02,PCB MAIN AMP OUT(400W),EPA3173-02,EA,도고테크,,
PCB-EPA3173-03,PCB MAIN AMP LED(400W),EPA3173-03-1,EA,도고테크,,
PCB-EPA3173-04,PCB MAIN AMP HD(400W),EPA3173-04,EA,도고테크,,
PCB-EPA3173-05,PCB MAIN AMP POWER(400W),LPP743-05,EA,도고테크,,
,,,,,,
,,,,,,
