거래처구분(고객/대리점/공급처 중 선택),거래처코드,거래처명,사업자등록번호,거래처담당자,연락처,이메일,사업장주소,사업자등록증,특이사항
대리점,00261,삼미미디어,214-86-30373,김정겸과장,010-4757-8247,smmedia@bill36524.com,경기도 안양시 동안구 전파로104번길 31,,
대리점,01012,세종음향,130-09-33222,이재현사장,010-3360-1387,sejong9904@hanmail.net,경기도 안양시 만안구 안양로 380,,
대리점,01080,(유)리더썬,409-86-38084,사무실,062-971-2211,lds2211@hanmail.net,광주광역시 북구 첨단벤처소로37번길 10,,
대리점,01692,우성텔레콤,128-86-02824,박현승사장,010-3437-7119,wosg310@paran.com,경기도 고양시 일산동구 장항동 852 현대에뜨레보 927호,,
대리점,03236,삼일아이앤씨,607-86-14070,정갑영상무,010-3242-9621,310482@naver.com,부산광역시 동래구 중앙대로 1333번길 104,,
대리점,00655,인켈통신,603-02-56030,최성민사장,010-4571-1640,cms1640@naver.com,부산광역시 부산진구 신천대로 281럭키무지개아파트 상가제3동1층11호,,
대리점,02185,대성방재,138-81-25135,박승범과장,02-594-7979,ds5324119@naver.com,서울특별시 동작구 사당3동 252-17 서림빌딩 506호,,
대리점,04377,제이코리아음향,153-21-00823,정재학사장,010-2319-9267,kkwjjh1234@naver.com,"경기도 시흥시 중심상가로 349, 902동 402호",,
구매처,02932,유피이엔씨,122-86-15184,사무실,031-315-9972,01054824699@daum.net,경기도 시흥시 서해안로 1571,,
구매처,00363,토탈음향,126-86-34029,심영록사장,010-3664-5120,speakertotal@hanmail.net,경기도 광주시 목동 55-1,,
구매처,00045,영광사,101-35-62596,사무실,02-2267-5781,8ohm@naver.com,"서울특별시 종로구 청계천로 163,  106호",,
구매처,02357,PA디바이세스,133-11-75961,김희덕사장,011-338-5808,heidekim@paran.com,경기도 화성시 향남읍 발안공단로5길 65,,
구매처,04298,아큐릭스,105-23-84702,김성수사장,010-4137-8275,accurix@naver.com,경기도 양주시 청담로 301,,
구매처,01354,삼풍파워주식회사,119-81-76481,사무실,032-721-9000,ksp@sampoong.com,인천광역시 서구 장고개로117번길 34,,
구매처,02481,엠앤엠,478-86-00605,정홍섭사장,010-8764-8041,buyclub@naver.com,경기도 화성시 여울로 178-5(능동),,
구매처,02224,케이텔,268-01-01408,박경서사장,010-3344-0540,kkss7036@hanmail.net,경기도 양주시 칠봉산로 168번길 40-23,,
공급처,00001,도고테크,137-05-87740,최석우사장,010-4315-1456,csw8771@naver.com,인천광역시 미추홀구 방축로312 주안제이타워2차 809호,,
공급처,04465,황금엔지니어링,133-22-63705,이상태사장,010-2929-0397,dong5971@chol.com,인천광역시 서구 경서동 680-2,,
공급처,00065,태신전자,137-81-61929,이서준과장,010-9857-4002,taeshin@taeshintech.co.kr,인천광역시 서구 가좌동 173-69번지,,
공급처,01407,케이엠하이테크,130-86-56624,최재용주임,010-9095-2606,km2687@chol.com,경기도 부천시 오정구 내동 77-2,,
공급처,00043,신진포장,134-81-06683,사무실,031-499-1174,sinjin1174@yahoo.co.kr,경기도 안산시 성곡동 668-6 4라 207,,
공급처,00010,대영전기,101-05-95106,박형하사장,010-2297-0439,phh0439@naver.com,서울시 종로구 장사동 116-4 세운상가 가동 774-2호,,
공급처,00783,우진테크,130-32-29497,박성진사장,010-5418-3101,psjrain@hanmail.net,경기도 부천시 소사구 송내동 389-4(4층),,
공급처,00031,삼형판금,130-04-79752,사무실,031-431-2293,samjdm@naver.com,"경기도 시흥시 마유로144번길 50(정왕동,시화공단3라218호)",,
공급처,00067,트리젠,136-10-71778,한경현사장,010-5261-1654,trigenh@naver.com,인천광역시 서구 오류동 403-2,,
공급처,01561,하나인텍,143-81-25350,이상문이사,010-2313-2294,,경기도 화성시 봉담읍 마당바위로 205,,
공급처,02506,한독전자,122-81-87102,사무실,032-363-3800,,인천 부평구 청천동 440-4 남광센트렉스 412호,,
공급처,01699,대동코끼리,130-05-49560,전대형사장,010-3367-9366,SD4272@chol.com,경기도 부천시 원미구 옥산로252번길30(도당동),,
공급처,00712,세동테크,130-08-41104,전세형사장,010-8907-9360,sedong9360@hanmail.net,경기도 부천시 오정구 내동 172번지,,
공급처,00027,삼미스피커,303-81-21408,박두경이사,010-8429-0002,sammi@sammisound.com,서울 성동구 성수2가3동 299-216 성수빌딩305호,,
공급처,00025,비룡전자서울,848-88-00259,사무실,02-2274-6192,brt2274@naver.com,서울특별시 종로구 청계천로 151-7 (장사동),,
공급처,02149,화인일렉트로닉스,113-86-34038,사무실,02-2681-8793,fine008@naver.com,서울 구로구 구로2동 중앙유통단지 다-3125호,,
공급처,00926,정광스크류,140-01-67854,사무실,031-430-2183,,경기도 시흥시 정왕동 1367 유통상가 9동 114호,,
공급처,01243,세영종합상사,124-40-01373,신기철사장,010-4632-1119,skc7324@naver.com,경기도 화성시 팔탄면 지월리 499-5 122,,
공급처,00055,제천전기,101-37-68390,사무실,02-2279-5062,,서울시 종로구 장사동 97-3,,
